id,device_id,bundle_id,ts,received_at,ang_diff,cte,pitch,roll,speed,speed_fb,speed_ref,steer_fb,steer_ref,x,y,yaw,yaw_rate,z,time
,tractordroid-23080159,,2024-08-21 09:55:30.603000000,2024-08-21 09:55:32.866000000,-0.084,-0.19,-0.034,-0.05,1.97,6.5,0.0,-1.3,-60.1,-315.92,569.77,0.72,-0.022,233.35,09:55:30.603000
,tractordroid-23080159,,2024-08-21 09:55:30.707000000,2024-08-21 09:56:32.344000000,-0.084,-0.2,-0.033,-0.062,2.32,7.5,0.0,-1.0,-56.3,-316.06,569.93,0.717,-0.03,233.34,09:55:30.707000
,tractordroid-23080159,,2024-08-21 09:55:30.810000000,2024-08-21 09:56:32.344000000,-0.086,-0.23,-0.037,-0.073,2.29,7.5,0.0,-0.4,-59.0,-316.2,570.11,0.715,-0.032,233.32,09:55:30.810000
,tractordroid-23080159,,2024-08-21 09:55:30.919000000,2024-08-21 09:56:32.344000000,-0.084,-0.22,-0.043,-0.08,2.36,8.6,0.0,-12.0,-56.2,-316.37,570.3,0.715,0.023,233.29,09:55:30.919000
,tractordroid-23080159,,2024-08-21 09:55:31.019000000,2024-08-21 09:56:32.344000000,-0.077,-0.18,-0.046,-0.081,2.22,8.6,0.0,-12.0,-54.8,-316.51,570.45,0.717,0.023,233.27,09:55:31.019000
,tractordroid-23080159,,2024-08-21 09:55:31.127000000,2024-08-21 09:56:32.344000000,-0.057,-0.07,-0.05,-0.071,2.27,8.6,0.0,-27.4,-43.9,-316.69,570.6,0.728,0.127,233.27,09:55:31.127000
,tractordroid-23080159,,2024-08-21 09:55:31.251000000,2024-08-21 09:56:32.344000000,-0.028,0.09,-0.048,-0.052,2.05,8.8,0.0,-38.5,-29.2,-316.92,570.74,0.743,0.156,233.27,09:55:31.251000
,tractordroid-23080159,,2024-08-21 09:55:31.352000000,2024-08-21 09:56:32.344000000,0.003,0.25,-0.047,-0.048,1.9,8.8,0.0,-48.0,-9.7,-317.1,570.85,0.753,0.167,233.26,09:55:31.352000
,tractordroid-23080159,,2024-08-21 09:55:31.456000000,2024-08-21 09:56:32.344000000,0.023,0.32,-0.048,-0.057,1.8,8.5,0.0,-29.7,3.2,-317.3,570.98,0.774,0.108,233.26,09:55:31.456000
,tractordroid-23080159,,2024-08-21 09:55:31.564000000,2024-08-21 09:56:32.344000000,0.035,0.32,-0.045,-0.043,2.38,8.5,0.0,-24.9,3.9,-317.51,571.09,0.798,0.054,233.26,09:55:31.564000
,tractordroid-23080159,,2024-08-21 09:55:31.667000000,2024-08-21 09:56:32.344000000,0.04,0.31,-0.043,-0.021,1.84,8.3,0.0,-12.9,5.2,-317.75,571.19,0.822,0.027,233.25,09:55:31.667000
,tractordroid-23080159,,2024-08-21 09:55:31.772000000,2024-08-21 09:56:32.344000000,0.042,0.29,-0.04,-0.016,2.39,8.3,0.0,-2.6,2.4,-317.93,571.32,0.831,-0.022,233.26,09:55:31.772000
,tractordroid-23080159,,2024-08-21 09:55:31.877000000,2024-08-21 09:56:32.344000000,0.032,0.21,-0.045,-0.016,1.93,8.3,0.0,8.6,-5.7,-318.09,571.47,0.828,-0.076,233.23,09:55:31.877000
,tractordroid-23080159,,2024-08-21 09:55:31.985000000,2024-08-21 09:56:32.344000000,0.022,0.15,-0.047,-0.03,1.69,8.3,0.0,2.5,-12.3,-318.24,571.67,0.819,-0.046,233.23,09:55:31.985000
,tractordroid-23080159,,2024-08-21 09:55:32.094000000,2024-08-21 09:56:32.344000000,0.026,0.18,-0.04,-0.037,2.12,8.5,0.0,-11.2,-8.0,-318.43,571.85,0.821,0.019,233.25,09:55:32.094000
,tractordroid-23080159,,2024-08-21 09:55:32.201000000,2024-08-21 09:56:32.344000000,0.033,0.24,-0.035,-0.034,2.15,8.5,0.0,-16.3,-1.9,-318.57,572.01,0.812,0.009,233.25,09:55:32.201000
,tractordroid-23080159,,2024-08-21 09:55:32.307000000,2024-08-21 09:56:32.344000000,0.03,0.23,-0.024,-0.043,1.85,8.3,0.0,-1.3,-3.1,-318.77,572.19,0.807,-0.028,233.26,09:55:32.307000
,tractordroid-23080159,,2024-08-21 09:55:32.415000000,2024-08-21 09:56:32.344000000,0.021,0.17,-0.027,-0.064,2.68,8.5,0.0,-3.3,-8.0,-318.92,572.37,0.807,-0.019,233.25,09:55:32.415000
,tractordroid-23080159,,2024-08-21 09:55:32.518000000,2024-08-21 09:56:32.344000000,0.021,0.18,-0.041,-0.062,1.85,8.5,0.0,-9.7,-7.4,-319.08,572.51,0.811,0.011,233.21,09:55:32.518000
,tractordroid-23080159,,2024-08-21 09:55:32.621000000,2024-08-21 09:56:32.344000000,0.024,0.22,-0.047,-0.052,2.26,8.3,0.0,-9.2,-3.1,-319.28,572.65,0.815,0.001,233.19,09:55:32.621000
,tractordroid-23080159,,2024-08-21 09:55:32.723000000,2024-08-21 09:56:32.344000000,0.025,0.24,-0.052,-0.05,2.02,8.3,0.0,-4.6,-0.3,-319.45,572.79,0.813,-0.012,233.17,09:55:32.723000
