"device_id","ts","cte","steer_fb","speed","x","y","z","time","steering_control_state"
mu-l2-2312-0021,2024-11-22 07:11:35.096000000,-0.01,0.0,2.39,-1940.96,3524.27,26.52,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:35.295000000,-0.01,0.0,2.33,-1940.68,3523.88,26.52,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:35.396000000,-0.01,-0.3,2.42,-1940.54,3523.68,26.52,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:35.496000000,-0.01,-0.7,2.46,-1940.4,3523.49,26.52,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:35.699000000,0.0,-1.4,2.3,-1940.12,3523.12,26.52,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:35.799000000,0.01,-2.3,2.31,-1939.99,3522.92,26.51,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:36.002000000,0.01,-2.6,2.43,-1939.7,3522.51,26.51,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:36.115000000,0.01,-2.6,2.37,-1939.57,3522.32,26.51,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:36.305000000,0.01,-2.6,2.29,-1939.3,3521.95,26.51,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:36.408000000,0.01,-2.8,2.39,-1939.15,3521.74,26.51,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:36.514000000,0.01,-2.6,2.43,-1939.03,3521.56,26.5,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:36.714000000,-0.01,-2.8,2.34,-1938.75,3521.13,26.49,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:36.915000000,-0.03,-2.8,2.37,-1938.49,3520.71,26.49,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:37.119000000,-0.05,-3.1,2.43,-1938.23,3520.33,26.48,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:37.318000000,-0.06,-4.0,2.35,-1937.98,3519.96,26.45,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:37.519000000,-0.05,-5.6,2.43,-1937.69,3519.56,26.45,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:37.721000000,-0.05,-7.9,2.37,-1937.42,3519.17,26.44,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:37.824000000,-0.05,-8.9,2.33,-1937.3,3518.96,26.44,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:37.926000000,-0.05,-9.7,2.45,-1937.15,3518.76,26.43,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:38.029000000,-0.05,-10.2,2.4,-1937.01,3518.55,26.42,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:38.134000000,-0.05,-10.4,2.46,-1936.87,3518.34,26.42,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:38.241000000,-0.05,-10.2,2.3,-1936.73,3518.14,26.42,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:38.438000000,-0.06,-10.2,2.36,-1936.48,3517.76,26.41,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:38.539000000,-0.07,-9.7,2.24,-1936.37,3517.56,26.4,2024-11-22 07:11:35,ACT_ROBOT
mu-l2-2312-0021,2024-11-22 07:11:38.739000000,-0.09,-9.5,2.23,-1936.11,3517.15,26.4,2024-11-22 07:11:35,ACT_ROBOT
