id,device_id,bundle_id,ts,received_at,ang_diff,cte,pitch,roll,speed,speed_fb,speed_ref,steer_fb,steer_ref,x,y,yaw,yaw_rate,z,time
,tractordroid-23080159,,2024-08-21 10:45:56.665000000,2024-08-21 10:45:58.588000000,0.013,-0.94,0.052,-0.002,0.02,0.0,0.0,-2.3,-221.0,-421.21,673.67,-2.323,-0.0,226.72,10:45:56.665000
,tractordroid-23080159,,2024-08-21 10:45:56.771000000,2024-08-21 10:46:58.079000000,0.013,-0.94,0.052,-0.002,0.01,0.0,0.0,-2.3,-221.5,-421.21,673.67,-2.323,-0.0,226.72,10:45:56.771000
,tractordroid-23080159,,2024-08-21 10:45:56.877000000,2024-08-21 10:46:58.079000000,0.013,-0.94,0.052,-0.002,0.01,0.0,0.0,-2.5,-221.5,-421.21,673.67,-2.323,-0.0,226.72,10:45:56.877000
,tractordroid-23080159,,2024-08-21 10:45:56.991000000,2024-08-21 10:46:58.079000000,0.015,-0.93,0.052,-0.002,0.01,0.0,0.0,-9.2,-219.9,-421.21,673.67,-2.323,0.0,226.72,10:45:56.991000
,tractordroid-23080159,,2024-08-21 10:45:57.105000000,2024-08-21 10:46:58.079000000,0.026,-0.85,0.052,-0.002,0.0,0.0,0.0,-17.2,-212.4,-421.21,673.68,-2.323,0.0,226.72,10:45:57.105000
,tractordroid-23080159,,2024-08-21 10:45:57.224000000,2024-08-21 10:46:58.079000000,0.046,-0.73,0.051,-0.002,-0.01,0.0,0.0,-28.8,-197.1,-421.2,673.68,-2.323,0.0,226.72,10:45:57.224000
,tractordroid-23080159,,2024-08-21 10:45:57.331000000,2024-08-21 10:46:58.079000000,0.071,-0.58,0.05,-0.002,0.02,0.0,0.0,-45.1,-167.7,-421.2,673.68,-2.323,0.0,226.72,10:45:57.331000
,tractordroid-23080159,,2024-08-21 10:45:57.432000000,2024-08-21 10:46:58.079000000,0.101,-0.42,0.05,-0.003,-0.01,0.0,0.0,-51.3,-125.7,-421.21,673.68,-2.323,0.0,226.72,10:45:57.432000
,tractordroid-23080159,,2024-08-21 10:45:57.540000000,2024-08-21 10:46:58.079000000,0.136,-0.25,0.05,-0.003,0.0,0.0,0.0,-59.5,-61.0,-421.21,673.68,-2.323,0.0,226.72,10:45:57.540000
,tractordroid-23080159,,2024-08-21 10:45:57.646000000,2024-08-21 10:46:58.079000000,0.174,-0.06,0.05,-0.002,-0.01,0.0,0.0,-74.6,-5.3,-421.21,673.68,-2.323,0.0,226.72,10:45:57.646000
