id,device_id,bundle_id,ts,received_at,ang_diff,cte,pitch,roll,speed,speed_fb,speed_ref,steer_fb,steer_ref,x,y,yaw,yaw_rate,z,time
,tractordroid-23080159,,2024-08-21 09:26:43.412000000,2024-08-21 09:26:53.890000000,0.062,0.77,0.059,0.006,0.77,2.5,0.0,-22.3,157.3,-413.51,665.16,-2.332,0.022,227.43,09:26:43.412000
,tractordroid-23080159,,2024-08-21 09:26:43.518000000,2024-08-21 09:27:45.226000000,0.062,0.77,0.057,0.003,0.88,2.7,0.0,-22.2,153.7,-413.44,665.11,-2.329,0.023,227.43,09:26:43.518000
,tractordroid-23080159,,2024-08-21 09:26:43.627000000,2024-08-21 09:27:45.226000000,0.064,0.79,0.055,0.002,0.94,3.0,0.0,-22.2,153.3,-413.36,665.06,-2.325,0.025,227.43,09:26:43.627000
,tractordroid-23080159,,2024-08-21 09:26:43.735000000,2024-08-21 09:27:45.226000000,0.066,0.8,0.057,0.003,1.05,3.2,0.0,-22.0,153.1,-413.27,665.0,-2.321,0.027,227.44,09:26:43.735000
,tractordroid-23080159,,2024-08-21 09:26:43.842000000,2024-08-21 09:27:45.226000000,0.068,0.82,0.059,0.0,1.04,3.9,0.0,-16.5,157.4,-413.18,664.94,-2.317,0.02,227.45,09:26:43.842000
,tractordroid-23080159,,2024-08-21 09:26:43.946000000,2024-08-21 09:27:45.226000000,0.065,0.8,0.063,0.0,1.15,4.5,0.0,-7.5,151.0,-413.08,664.86,-2.313,0.0,227.47,09:26:43.946000
,tractordroid-23080159,,2024-08-21 09:26:44.051000000,2024-08-21 09:27:45.226000000,0.056,0.75,0.063,0.001,1.31,4.6,0.0,4.6,137.5,-412.99,664.78,-2.311,-0.032,227.48,09:26:44.051000
,tractordroid-23080159,,2024-08-21 09:26:44.153000000,2024-08-21 09:27:45.226000000,0.043,0.68,0.064,0.002,1.52,4.5,0.0,14.1,118.7,-412.88,664.68,-2.312,-0.056,227.49,09:26:44.153000
,tractordroid-23080159,,2024-08-21 09:26:44.257000000,2024-08-21 09:27:45.226000000,0.021,0.56,0.067,0.002,1.72,6.1,0.0,22.5,90.5,-412.78,664.56,-2.318,-0.169,227.5,09:26:44.257000
,tractordroid-23080159,,2024-08-21 09:26:44.364000000,2024-08-21 09:27:45.226000000,-0.011,0.39,0.072,0.006,1.95,7.5,0.0,38.2,51.8,-412.66,664.39,-2.328,-0.199,227.52,09:26:44.364000
,tractordroid-23080159,,2024-08-21 09:26:44.474000000,2024-08-21 09:27:45.226000000,-0.047,0.21,0.077,0.008,2.19,7.9,0.0,52.5,16.0,-412.53,664.19,-2.342,-0.278,227.55,09:26:44.474000
,tractordroid-23080159,,2024-08-21 09:26:44.584000000,2024-08-21 09:27:45.226000000,-0.085,0.04,0.074,0.012,2.19,7.9,0.0,53.7,-2.6,-412.4,664.0,-2.353,-0.284,227.56,09:26:44.584000
,tractordroid-23080159,,2024-08-21 09:26:44.685000000,2024-08-21 09:27:45.226000000,-0.11,-0.04,0.065,0.017,2.13,8.3,0.0,38.2,-11.7,-412.29,663.8,-2.369,-0.218,227.54,09:26:44.685000
,tractordroid-23080159,,2024-08-21 09:26:44.786000000,2024-08-21 09:27:45.226000000,-0.125,-0.07,0.061,0.014,2.24,8.3,0.0,32.5,-15.6,-412.19,663.59,-2.39,-0.19,227.54,09:26:44.786000
,tractordroid-23080159,,2024-08-21 09:26:44.888000000,2024-08-21 09:27:45.226000000,-0.134,-0.08,0.062,0.008,2.47,8.6,0.0,19.5,-17.6,-412.1,663.36,-2.412,-0.132,227.56,09:26:44.888000
,tractordroid-23080159,,2024-08-21 09:26:44.991000000,2024-08-21 09:27:45.226000000,-0.139,-0.08,0.062,0.003,2.11,8.6,0.0,13.8,-17.8,-412.01,663.14,-2.433,-0.104,227.57,09:26:44.991000
,tractordroid-23080159,,2024-08-21 09:26:45.116000000,2024-08-21 09:27:45.226000000,-0.139,-0.06,0.055,0.003,2.08,8.6,0.0,7.6,-16.4,-411.86,662.89,-2.448,-0.044,227.56,09:26:45.116000
,tractordroid-23080159,,2024-08-21 09:26:45.226000000,2024-08-21 09:27:45.226000000,-0.135,-0.03,0.051,0.004,2.34,8.5,0.0,-1.2,-13.8,-411.72,662.7,-2.453,-0.029,227.56,09:26:45.226000
,tractordroid-23080159,,2024-08-21 09:26:45.333000000,2024-08-21 09:27:45.226000000,-0.129,0.0,0.052,0.005,2.27,8.5,0.0,-5.1,-10.8,-411.57,662.52,-2.454,-0.01,227.59,09:26:45.333000
,tractordroid-23080159,,2024-08-21 09:26:45.433000000,2024-08-21 09:27:45.226000000,-0.124,0.01,0.052,0.001,2.23,8.6,0.0,-5.7,-9.2,-411.43,662.34,-2.459,-0.007,227.6,09:26:45.433000
,tractordroid-23080159,,2024-08-21 09:26:45.535000000,2024-08-21 09:27:45.226000000,-0.12,0.0,0.048,-0.013,2.22,8.6,0.0,-5.7,-9.3,-411.31,662.17,-2.46,-0.007,227.6,09:26:45.535000
,tractordroid-23080159,,2024-08-21 09:26:45.650000000,2024-08-21 09:27:45.226000000,-0.117,-0.01,0.045,-0.008,2.05,8.5,0.0,-5.6,-9.9,-411.15,661.98,-2.455,-0.008,227.6,09:26:45.650000
,tractordroid-23080159,,2024-08-21 09:26:45.764000000,2024-08-21 09:27:45.226000000,-0.113,-0.02,0.048,0.004,2.34,8.3,0.0,-5.5,-11.1,-410.96,661.8,-2.449,-0.01,227.64,09:26:45.764000
,tractordroid-23080159,,2024-08-21 09:26:45.865000000,2024-08-21 09:27:45.226000000,-0.109,-0.02,0.047,0.014,1.99,8.5,0.0,-5.1,-10.2,-410.82,661.65,-2.444,-0.01,227.66,09:26:45.865000
